"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2026","121.19","120.43","121.80","117.92","72.51M","3.11%"
"27-03-2026","117.53","118.34","118.86","116.52","58.87M","-1.48%"
"25-03-2026","119.29","118.37","119.88","118.37","65.24M","3.29%"
"24-03-2026","115.49","111.62","116.59","111.62","102.92M","4.31%"
"23-03-2026","110.72","116.64","117.00","107.13","227.28M","-8.54%"
"20-03-2026","121.06","122.67","122.67","120.05","68.51M","-0.21%"
"19-03-2026","121.32","125.88","125.88","120.73","101.17M","-5.15%"
"18-03-2026","127.91","127.88","128.07","127.11","27.96M","-0.24%"
"17-03-2026","128.22","127.82","129.08","127.82","28.32M","0.79%"
"16-03-2026","127.22","128.00","128.87","126.86","56.79M","-2.38%"
"13-03-2026","130.32","131.38","131.38","129.87","37.19M","-1.59%"
"12-03-2026","132.43","131.90","132.65","131.54","30.30M","-0.21%"
"11-03-2026","132.71","133.43","133.44","132.33","32.16M","0.39%"
"10-03-2026","132.20","131.51","132.78","131.51","37.24M","0.65%"
"09-03-2026","131.35","129.89","132.18","125.86","69.28M","0.41%"
"06-03-2026","130.82","132.31","132.31","130.61","45.37M","-1.07%"
"05-03-2026","132.24","136.00","137.30","131.25","65.01M","-1.28%"
"04-03-2026","133.96","134.40","135.30","104.72","104.09M","-3.15%"
"02-03-2026","138.32","140.10","142.00","135.23","177.84M","5.11%"
"27-02-2026","131.60","130.70","131.80","130.65","43.70M","0.86%"
"26-02-2026","130.48","132.69","133.79","130.00","40.84M","-0.92%"
"25-02-2026","131.69","131.10","132.00","130.64","44.91M","0.36%"
"24-02-2026","131.22","130.11","134.00","130.11","48.39M","0.94%"
"23-02-2026","130.00","130.72","132.00","129.30","56.31M","1.93%"
"20-02-2026","127.54","126.88","127.70","123.91","38.28M","0.35%"
"19-02-2026","127.09","126.11","128.00","126.11","66.72M","1.97%"
"18-02-2026","124.64","124.21","125.38","124.21","38.12M","0.05%"
"17-02-2026","124.58","126.00","126.19","123.39","56.08M","-1.84%"
"16-02-2026","126.92","127.08","127.08","125.82","47.51M","0.65%"
"13-02-2026","126.10","126.50","126.78","124.00","56.10M","-1.88%"
"12-02-2026","128.52","129.00","129.27","128.10","42.18M","-0.14%"
"11-02-2026","128.70","128.34","130.00","127.90","39.30M","0.28%"
"10-02-2026","128.34","127.98","128.44","127.68","48.44M","0.28%"
"09-02-2026","127.98","129.10","129.90","127.40","90.37M","2.35%"
"06-02-2026","125.04","123.89","125.58","121.55","95.41M","-0.14%"
"05-02-2026","125.22","125.88","126.19","121.61","128.19M","-3.38%"
"04-02-2026","129.60","128.25","132.00","128.10","159.22M","3.51%"
"03-02-2026","125.20","120.10","126.80","120.00","219.63M","5.50%"
"02-02-2026","118.67","121.99","122.00","112.10","279.79M","-2.98%"
"01-02-2026","122.31","120.35","124.88","115.66","253.58M","-6.72%"
"30-01-2026","131.12","138.70","142.80","127.10","352.20M","-10.52%"
"29-01-2026","146.53","143.00","148.14","141.64","271.82M","7.89%"
"28-01-2026","135.82","132.00","137.10","132.00","184.19M","3.32%"
"27-01-2026","131.45","130.55","134.00","129.03","139.66M","3.16%"
"23-01-2026","127.42","129.10","132.48","126.00","141.94M","2.48%"
"22-01-2026","124.34","131.44","131.84","119.00","233.05M","-7.88%"
"21-01-2026","134.97","127.00","135.90","127.00","248.76M","7.24%"
"20-01-2026","125.86","121.99","126.90","120.20","171.44M","3.93%"
"19-01-2026","121.10","119.15","122.90","118.56","91.48M","2.82%"
"16-01-2026","117.78","117.79","118.40","117.04","65.36M","-0.19%"
"14-01-2026","118.01","117.83","118.49","116.36","77.32M","1.41%"
"13-01-2026","116.37","116.98","117.14","116.00","59.66M","-0.33%"
"12-01-2026","116.76","115.70","117.00","114.81","70.99M","2.77%"
"09-01-2026","113.61","113.26","113.88","112.61","39.28M","1.18%"
"08-01-2026","112.29","112.73","112.96","111.42","37.52M","-0.55%"
"07-01-2026","112.91","113.51","113.99","112.46","39.01M","-0.20%"
"06-01-2026","113.14","113.62","113.71","113.01","45.69M","0.19%"
"05-01-2026","112.92","112.16","113.20","111.84","50.85M","0.98%"
"02-01-2026","111.82","111.62","111.98","110.92","37.64M","1.18%"
"01-01-2026","110.52","110.35","110.65","109.70","24.31M","0.37%"
"31-12-2025","110.11","111.17","111.48","109.75","40.04M","-0.95%"
"30-12-2025","111.17","111.78","117.00","110.10","55.36M","-1.65%"
"29-12-2025","113.03","115.44","115.45","112.00","73.39M","-1.12%"
"26-12-2025","114.31","113.37","114.48","113.37","46.01M","0.97%"
"24-12-2025","113.21","113.49","115.00","112.99","47.65M","0.10%"
"23-12-2025","113.10","112.52","113.74","112.52","45.89M","1.54%"
"22-12-2025","111.39","110.70","111.55","110.34","66.93M","1.43%"
"19-12-2025","109.82","109.79","110.09","109.32","25.35M","-0.05%"
"18-12-2025","109.88","110.05","110.58","109.77","26.80M","-0.10%"
"17-12-2025","109.99","110.13","111.77","109.46","48.57M","0.39%"
"16-12-2025","109.56","109.46","110.05","109.20","36.34M","-1.25%"
"15-12-2025","110.95","110.45","111.09","109.72","44.28M","1.22%"
"12-12-2025","109.61","108.20","109.98","108.20","42.81M","2.30%"
"11-12-2025","107.15","106.86","107.28","106.37","20.25M","0.87%"
"10-12-2025","106.23","106.85","106.85","106.10","21.09M","-0.05%"
"09-12-2025","106.28","106.76","106.76","105.50","22.84M","-0.53%"
