"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2024","2,245.90","2,243.50","2,275.00","2,238.50","277.23K","2.02%"
"02-04-2024","2,270.30","2,260.20","2,290.10","2,256.10","254.57K","1.09%"
"03-04-2024","2,303.30","2,290.00","2,310.00","2,275.10","236.23K","1.45%"
"04-04-2024","2,296.90","2,308.90","2,312.00","2,288.40","293.21K","-0.28%"
"08-04-2024","2,339.00","2,332.20","2,357.00","2,310.50","279.61K","1.83%"
"09-04-2024","2,350.60","2,344.40","2,372.50","2,344.40","353.85K","0.50%"
"10-04-2024","2,336.60","2,358.90","2,365.80","2,325.70","260.42K","-0.60%"
"11-04-2024","2,360.80","2,340.50","2,382.90","2,331.60","479.89K","1.04%"
"15-04-2024","2,370.90","2,357.30","2,392.00","2,330.10","297.59K","0.43%"
"16-04-2024","2,395.50","2,387.00","2,402.20","2,367.40","284.35K","1.04%"
"17-04-2024","2,376.20","2,387.90","2,399.50","2,359.90","200.55K","-0.81%"
"18-04-2024","2,385.80","2,366.10","2,395.70","2,366.10","275.41K","0.40%"
"22-04-2024","2,334.60","2,391.50","2,391.50","2,327.30","270.23K","-2.15%"
"23-04-2024","2,329.90","2,332.20","2,336.00","2,293.60","187.70K","-0.20%"
"24-04-2024","2,326.00","2,324.00","2,338.00","2,313.60","224.47K","-0.17%"
"25-04-2024","2,330.30","2,317.80","2,344.80","2,306.40","171.01K","0.18%"
"29-04-2024","2,357.70","2,347.60","2,358.90","2,331.00","229.06K","1.18%"
"30-04-2024","2,302.90","2,347.00","2,347.60","2,296.20","227.38K","-2.32%"
"01-05-2024","2,311.00","2,298.20","2,339.50","2,291.70","193.66K","0.35%"
"02-05-2024","2,309.60","2,329.90","2,336.10","2,294.30","231.40K","-0.06%"
"06-05-2024","2,331.20","2,312.80","2,341.90","2,300.60","204.62K","0.94%"
"07-05-2024","2,324.20","2,334.80","2,338.70","2,318.20","214.69K","-0.30%"
"08-05-2024","2,322.30","2,322.00","2,329.60","2,311.40","249.09K","-0.08%"
"09-05-2024","2,340.30","2,316.50","2,354.20","2,312.90","275.24K","0.78%"
"13-05-2024","2,343.00","2,369.10","2,370.80","2,337.60","192.08K","0.12%"
"14-05-2024","2,359.90","2,342.30","2,365.20","2,340.50","249.84K","0.72%"
"15-05-2024","2,394.90","2,362.90","2,396.10","2,357.10","191.03K","1.48%"
"16-05-2024","2,385.50","2,391.50","2,402.70","2,375.20","218.55K","-0.39%"
"20-05-2024","2,438.50","2,422.20","2,454.20","2,411.10","229.42K","2.22%"
"21-05-2024","2,425.90","2,431.50","2,438.20","2,408.50","253.85K","-0.52%"
"22-05-2024","2,392.90","2,425.40","2,430.50","2,378.00","273.66K","-1.36%"
"23-05-2024","2,337.20","2,383.00","2,385.70","2,328.10","178.34K","-2.33%"
"28-05-2024","2,356.50","2,338.00","2,365.50","2,333.80","119.32K","0.83%"
"29-05-2024","2,341.20","2,362.50","2,363.70","2,334.20","188.89K","-0.65%"
"30-05-2024","2,354.70","2,357.90","2,360.70","2,332.10","183.41K","0.58%"
"03-06-2024","2,357.50","2,335.00","2,363.50","2,323.90","171.55K","0.12%"
"04-06-2024","2,335.70","2,360.20","2,361.00","2,324.50","171.86K","-0.92%"
"05-06-2024","2,363.60","2,335.50","2,365.20","2,335.10","172.20K","1.19%"
"06-06-2024","2,378.90","2,363.80","2,385.20","2,361.40","314.55K","0.65%"
"10-06-2024","2,315.10","2,299.50","2,319.30","2,292.90","145.50K","-2.68%"
"11-06-2024","2,314.60","2,315.70","2,325.20","2,303.30","241.67K","-0.02%"
"12-06-2024","2,342.70","2,321.70","2,345.10","2,315.70","182.66K","1.21%"
"13-06-2024","2,305.90","2,328.40","2,330.20","2,299.20","163.37K","-1.57%"
"17-06-2024","2,316.90","2,336.00","2,336.00","2,312.40","154.25K","0.48%"
"18-06-2024","2,334.80","2,323.30","2,334.50","2,309.10","252.69K","0.77%"
"20-06-2024","2,357.00","2,331.40","2,367.00","2,327.00","194.82K","0.95%"
"24-06-2024","2,332.40","2,322.10","2,334.70","2,318.00","144.27K","-1.04%"
"25-06-2024","2,318.40","2,334.40","2,336.20","2,314.80","191.63K","-0.60%"
"26-06-2024","2,301.00","2,318.80","2,320.50","2,292.90","140.23K","-0.75%"
"27-06-2024","2,336.60","2,309.40","2,342.00","2,306.80","135.38K","1.55%"
"01-07-2024","2,338.90","2,336.20","2,348.80","2,328.20","153.71K","0.10%"
"02-07-2024","2,333.40","2,341.60","2,346.10","2,327.40","193.64K","-0.24%"
"03-07-2024","2,369.40","2,338.60","2,374.50","2,335.70","293.25K","1.54%"
"08-07-2024","2,363.50","2,396.20","2,399.30","2,358.30","252.49K","-0.25%"
"09-07-2024","2,367.90","2,366.50","2,378.30","2,356.00","163.90K","0.19%"
"10-07-2024","2,379.70","2,371.00","2,393.40","2,369.70","303.52K","0.50%"
"11-07-2024","2,421.90","2,377.40","2,430.40","2,376.80","220.93K","1.77%"
"15-07-2024","2,428.90","2,419.30","2,445.00","2,406.10","246.09K","0.29%"
"16-07-2024","2,467.80","2,427.10","2,474.50","2,424.50","259.54K","1.60%"
"17-07-2024","2,459.90","2,473.20","2,488.40","2,455.50","192.77K","-0.32%"
"18-07-2024","2,456.40","2,462.50","2,478.50","2,442.90","254.41K","-0.14%"
"22-07-2024","2,394.70","2,403.70","2,414.40","2,385.20","171.19K","-2.51%"
"23-07-2024","2,407.30","2,398.00","2,413.50","2,389.20","245.88K","0.53%"
"24-07-2024","2,415.70","2,410.70","2,433.00","2,397.00","294.90K","0.35%"
"25-07-2024","2,353.50","2,398.10","2,400.80","2,351.90","154.52K","-2.57%"
"29-07-2024","2,377.80","2,386.90","2,402.10","2,367.30","172.97K","1.03%"
"30-07-2024","2,417.60","2,392.80","2,422.40","2,388.80","176.27K","1.67%"
"31-07-2024","2,438.50","2,420.80","2,461.10","2,415.40","219.83K","0.86%"
"01-08-2024","2,445.90","2,458.80","2,470.80","2,439.10","309.94K","0.30%"
"05-08-2024","2,411.80","2,458.50","2,466.10","2,373.80","186.11K","-1.39%"
"06-08-2024","2,398.90","2,420.90","2,431.20","2,390.20","166.08K","-0.53%"
"07-08-2024","2,400.00","2,398.60","2,414.20","2,387.00","178.51K","0.05%"
"08-08-2024","2,430.30","2,389.50","2,433.90","2,388.00","152.17K","1.26%"
"12-08-2024","2,469.90","2,436.00","2,478.00","2,430.00","155.08K","1.63%"
"13-08-2024","2,473.90","2,477.30","2,482.50","2,464.20","187.38K","0.16%"
"14-08-2024","2,446.20","2,470.60","2,485.40","2,443.00","169.32K","-1.12%"
"15-08-2024","2,458.60","2,452.00","2,471.80","2,437.10","223.93K","0.51%"
"19-08-2024","2,506.80","2,512.80","2,513.80","2,489.30","191.20K","1.96%"
"20-08-2024","2,516.10","2,507.70","2,535.40","2,502.10","148.89K","0.37%"
"21-08-2024","2,512.80","2,517.40","2,522.00","2,495.00","177.37K","-0.13%"
"22-08-2024","2,482.10","2,515.60","2,516.00","2,472.60","164.61K","-1.22%"
"26-08-2024","2,520.20","2,512.60","2,527.70","2,509.30","146.22K","1.53%"
"27-08-2024","2,517.70","2,517.60","2,525.20","2,504.40","165.12K","-0.10%"
"28-08-2024","2,502.60","2,525.20","2,526.40","2,493.20","159.97K","-0.60%"
"29-08-2024","2,536.70","2,516.60","2,538.70","2,513.80","175.64K","1.36%"
"03-09-2024","2,499.70","2,509.00","2,516.30","2,481.60","167.96K","-1.46%"
"04-09-2024","2,502.70","2,500.40","2,507.80","2,479.80","152.71K","0.12%"
"05-09-2024","2,519.70","2,502.30","2,530.50","2,500.70","228.12K","0.68%"
"09-09-2024","2,509.30","2,503.20","2,512.70","2,491.30","156.11K","-0.41%"
"10-09-2024","2,519.50","2,511.60","2,523.90","2,505.60","194.09K","0.41%"
"11-09-2024","2,519.00","2,522.00","2,534.40","2,505.70","233.68K","-0.02%"
"12-09-2024","2,557.10","2,517.90","2,564.80","2,515.50","174.67K","1.51%"
"16-09-2024","2,585.20","2,584.80","2,593.40","2,578.80","159.53K","1.10%"
"17-09-2024","2,568.90","2,586.30","2,590.00","2,564.10","233.13K","-0.63%"
"18-09-2024","2,574.90","2,573.40","2,603.70","2,549.40","204.48K","0.23%"
"19-09-2024","2,590.90","2,561.60","2,597.00","2,552.10","207.21K","0.62%"
"23-09-2024","2,628.60","2,622.50","2,635.70","2,615.40","216.55K","1.46%"
"24-09-2024","2,653.00","2,628.60","2,665.10","2,623.50","189.94K","0.93%"
"25-09-2024","2,660.70","2,658.70","2,670.50","2,649.80","217.64K","0.29%"
"26-09-2024","2,670.40","2,656.80","2,683.90","2,653.40","196.73K","0.36%"
"30-09-2024","2,647.90","2,667.90","2,675.20","2,636.80","202.76K","-0.84%"
"01-10-2024","2,678.50","2,644.40","2,681.70","2,644.40","128.68K","1.16%"
"02-10-2024","2,658.10","2,671.10","2,672.40","2,653.30","138.55K","-0.76%"
"03-10-2024","2,667.40","2,668.30","2,670.70","2,646.50","192.66K","0.35%"
"07-10-2024","2,654.00","2,658.80","2,666.60","2,646.00","233.85K","-0.50%"
"08-10-2024","2,623.50","2,649.60","2,660.40","2,612.70","143.00K","-1.15%"
"09-10-2024","2,614.10","2,628.80","2,630.60","2,612.00","195.58K","-0.36%"
"10-10-2024","2,627.40","2,614.80","2,636.90","2,608.80","168.60K","0.51%"
"14-10-2024","2,653.70","2,659.90","2,671.30","2,648.40","160.56K","1.00%"
"15-10-2024","2,667.00","2,654.60","2,673.80","2,643.10","156.88K","0.50%"
"16-10-2024","2,679.30","2,666.80","2,689.50","2,666.00","181.82K","0.46%"
"17-10-2024","2,695.50","2,676.90","2,700.50","2,676.90","178.96K","0.60%"
"21-10-2024","2,726.80","2,724.30","2,742.60","2,716.90","173.70K","1.16%"
"22-10-2024","2,747.40","2,723.10","2,749.50","2,721.80","214.52K","0.76%"
"23-10-2024","2,717.10","2,748.90","2,758.50","2,709.90","175.87K","-1.10%"
"24-10-2024","2,736.50","2,717.40","2,743.30","2,717.40","153.49K","0.71%"
"28-10-2024","2,743.60","2,739.40","2,745.60","2,725.80","207.42K","0.26%"
"29-10-2024","2,768.80","2,741.90","2,773.20","2,741.90","191.55K","0.92%"
"30-10-2024","2,800.80","2,786.90","2,801.80","2,782.40","242.57K","1.16%"
"31-10-2024","2,749.30","2,799.10","2,801.20","2,741.80","180.66K","-1.84%"
"04-11-2024","2,746.20","2,743.50","2,757.50","2,739.40","151.43K","-0.11%"
"05-11-2024","2,749.70","2,746.00","2,759.50","2,733.40","361.31K","0.13%"
"06-11-2024","2,676.30","2,752.60","2,758.80","2,660.70","292.92K","-2.67%"
"07-11-2024","2,705.80","2,667.70","2,718.30","2,650.30","233.11K","1.10%"
"11-11-2024","2,617.70","2,692.10","2,693.40","2,617.10","282.77K","-3.26%"
"12-11-2024","2,606.30","2,625.70","2,633.40","2,595.70","262.75K","-0.44%"
"13-11-2024","2,586.50","2,604.70","2,625.00","2,578.10","266.16K","-0.76%"
"14-11-2024","2,572.90","2,578.10","2,585.80","2,541.50","179.89K","-0.53%"
"18-11-2024","2,614.60","2,571.50","2,619.50","2,568.50","202.24K","1.62%"
"19-11-2024","2,631.00","2,616.30","2,643.40","2,614.20","182.01K","0.63%"
"20-11-2024","2,651.70","2,635.80","2,659.00","2,621.90","186.30K","0.79%"
"21-11-2024","2,674.90","2,653.50","2,676.50","2,651.60","220.55K","0.87%"
"25-11-2024","2,618.50","2,716.90","2,723.20","2,616.60","177.86K","-2.11%"
"26-11-2024","2,621.30","2,626.20","2,642.70","2,605.30","169.46K","0.11%"
"27-11-2024","2,652.30","2,646.40","2,670.70","2,641.10","180.76K","1.18%"
"02-12-2024","2,646.50","2,663.70","2,663.90","2,633.50","140.97K","-0.22%"
"03-12-2024","2,655.90","2,652.00","2,665.00","2,645.00","171.79K","0.36%"
"04-12-2024","2,664.30","2,651.30","2,670.00","2,643.80","156.12K","0.32%"
"05-12-2024","2,636.10","2,661.90","2,667.30","2,634.50","167.17K","-1.06%"
"09-12-2024","2,673.30","2,654.50","2,687.00","2,637.50","181.51K","1.41%"
"10-12-2024","2,705.60","2,669.80","2,708.80","2,669.80","264.99K","1.21%"
"11-12-2024","2,741.50","2,708.80","2,743.80","2,700.30","219.47K","1.33%"
"12-12-2024","2,695.10","2,737.80","2,743.50","2,683.30","178.69K","-1.69%"
"16-12-2024","2,657.00","2,654.60","2,669.70","2,648.30","147.05K","-1.41%"
"17-12-2024","2,649.60","2,657.20","2,662.50","2,634.30","156.33K","-0.28%"
"18-12-2024","2,640.80","2,651.20","2,654.30","2,587.20","191.59K","-0.33%"
"19-12-2024","2,596.00","2,586.00","2,625.00","2,585.90","153.57K","-1.70%"
