"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2026","124.77","124.34","125.20","121.45","8.10M","2.74%"
"27-03-2026","121.44","121.99","122.45","120.00","9.32M","-1.23%"
"25-03-2026","122.95","122.05","123.60","122.04","10.03M","3.26%"
"24-03-2026","119.07","117.13","120.19","116.04","11.83M","4.53%"
"23-03-2026","113.91","120.48","120.48","111.04","37.88M","-8.97%"
"20-03-2026","125.13","128.41","128.41","123.94","24.13M","-0.12%"
"19-03-2026","125.28","129.68","129.68","124.90","12.41M","-5.08%"
"18-03-2026","131.98","132.15","132.18","131.12","5.21M","-0.32%"
"17-03-2026","132.41","131.45","135.34","131.45","4.84M","0.77%"
"16-03-2026","131.40","133.42","133.44","131.00","11.32M","-2.52%"
"13-03-2026","134.80","135.72","135.98","134.11","5.48M","-1.48%"
"12-03-2026","136.82","140.56","140.56","135.34","3.76M","-0.23%"
"11-03-2026","137.14","138.00","139.78","136.06","7.58M","0.56%"
"10-03-2026","136.38","137.00","137.03","135.76","5.33M","0.64%"
"09-03-2026","135.51","135.12","136.50","134.25","11.22M","0.30%"
"06-03-2026","135.11","135.00","136.68","134.33","10.27M","-1.05%"
"05-03-2026","136.54","138.83","138.83","132.00","10.65M","-1.29%"
"04-03-2026","138.32","139.13","139.23","137.17","22.70M","-3.07%"
"02-03-2026","142.70","139.44","143.61","139.44","24.08M","4.90%"
"27-02-2026","136.03","133.98","136.30","133.98","4.99M","0.87%"
"26-02-2026","134.86","136.63","136.63","134.23","4.64M","-0.83%"
"25-02-2026","135.99","134.63","136.28","134.63","4.13M","0.40%"
"24-02-2026","135.45","130.84","136.00","130.84","7.08M","0.93%"
"23-02-2026","134.20","134.90","135.45","133.03","7.86M","1.93%"
"20-02-2026","131.66","130.88","131.90","130.00","10.50M","0.51%"
"19-02-2026","130.99","131.75","132.65","129.53","11.05M","1.91%"
"18-02-2026","128.54","127.99","129.46","127.99","5.27M","-0.15%"
"17-02-2026","128.73","130.28","130.28","127.53","6.96M","-1.85%"
"16-02-2026","131.16","131.32","131.44","128.34","4.69M","0.66%"
"13-02-2026","130.30","130.30","130.80","129.45","8.11M","-1.89%"
"12-02-2026","132.81","133.42","133.42","132.19","6.41M","-0.08%"
"11-02-2026","132.91","134.00","134.00","132.05","4.42M","0.31%"
"10-02-2026","132.50","135.32","135.32","131.46","6.52M","0.36%"
"09-02-2026","132.02","129.39","134.99","129.39","9.58M","2.03%"
"06-02-2026","129.39","129.84","129.85","126.50","9.93M","-0.35%"
"05-02-2026","129.84","129.88","130.94","126.60","16.11M","-3.26%"
"04-02-2026","134.21","132.82","136.37","132.50","20.46M","3.57%"
"03-02-2026","129.59","125.00","130.32","121.10","22.62M","6.58%"
"02-02-2026","121.59","128.44","128.44","115.00","34.71M","-3.96%"
"01-02-2026","126.60","128.44","128.50","119.36","26.51M","-7.09%"
"30-01-2026","136.26","151.38","151.38","132.00","41.71M","-9.99%"
"29-01-2026","151.38","145.65","152.30","145.65","40.61M","8.01%"
"28-01-2026","140.15","137.07","142.40","137.07","22.92M","3.27%"
"27-01-2026","135.71","135.17","139.88","131.88","25.30M","2.90%"
"23-01-2026","131.88","132.19","138.00","130.17","21.15M","2.26%"
"22-01-2026","128.97","139.57","143.00","121.50","34.36M","-7.59%"
"21-01-2026","139.57","132.64","144.00","131.99","36.65M","7.86%"
