"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2026","125.34","124.47","125.84","121.45","14.56M","3.21%"
"27-03-2026","121.44","121.35","122.76","119.65","16.04M","-1.66%"
"25-03-2026","123.49","122.55","124.98","122.55","11.58M","3.28%"
"24-03-2026","119.57","115.18","120.33","115.02","22.62M","5.36%"
"23-03-2026","113.49","120.66","120.66","110.64","37.14M","-9.34%"
"20-03-2026","125.18","127.73","127.73","124.20","11.96M","0.03%"
"19-03-2026","125.14","128.93","130.23","124.50","16.90M","-5.37%"
"18-03-2026","132.24","133.94","133.94","131.59","6.37M","-0.25%"
"17-03-2026","132.57","131.39","134.50","131.39","6.38M","0.94%"
"16-03-2026","131.33","134.45","134.45","130.98","11.94M","-2.58%"
"13-03-2026","134.81","135.03","136.24","134.33","6.88M","-1.65%"
"12-03-2026","137.07","139.50","139.50","135.13","4.70M","-0.28%"
"11-03-2026","137.45","139.68","139.68","136.92","6.50M","0.31%"
"10-03-2026","137.02","134.75","138.73","134.75","9.73M","0.68%"
"09-03-2026","136.09","135.26","137.11","134.44","11.27M","0.61%"
"06-03-2026","135.26","137.00","137.00","135.00","13.54M","-1.23%"
"05-03-2026","136.94","138.83","138.83","136.00","8.90M","-0.98%"
"04-03-2026","138.30","142.44","142.44","136.00","20.14M","-3.66%"
"02-03-2026","143.55","138.88","147.36","138.88","29.60M","5.33%"
"27-02-2026","136.29","132.30","136.44","132.30","6.39M","0.95%"
"26-02-2026","135.01","139.77","139.89","134.51","4.80M","-1.00%"
"25-02-2026","136.37","139.10","140.00","135.59","7.87M","0.49%"
"24-02-2026","135.71","136.45","136.46","135.00","8.82M","0.73%"
"23-02-2026","134.72","135.46","137.16","129.37","9.79M","1.94%"
"20-02-2026","132.16","134.77","134.77","130.01","5.34M","0.51%"
"19-02-2026","131.49","131.00","132.49","129.86","8.21M","1.93%"
"18-02-2026","129.00","128.14","129.71","128.14","9.61M","0.09%"
"17-02-2026","128.89","130.75","130.75","127.51","10.15M","-2.08%"
"16-02-2026","131.63","130.48","133.88","130.20","13.97M","0.77%"
"13-02-2026","130.62","129.33","130.98","128.80","9.80M","-2.02%"
"12-02-2026","133.31","133.95","133.95","132.52","6.78M","-0.16%"
"11-02-2026","133.52","136.28","136.28","132.70","8.95M","0.42%"
"10-02-2026","132.96","135.57","135.57","131.71","9.06M","0.52%"
"09-02-2026","132.27","133.91","135.31","131.82","14.80M","1.74%"
"06-02-2026","130.01","135.04","135.04","127.50","16.69M","-1.32%"
"05-02-2026","131.75","137.00","137.00","127.40","25.98M","-2.24%"
"04-02-2026","134.77","134.76","136.44","132.89","27.81M","3.70%"
