"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2026","122.08","120.50","122.55","118.94","3.99M","3.09%"
"27-03-2026","118.42","119.00","119.39","115.33","4.58M","-1.33%"
"25-03-2026","120.02","119.24","120.90","119.24","5.28M","3.18%"
"24-03-2026","116.32","114.00","117.00","112.40","7.73M","4.58%"
"23-03-2026","111.23","122.53","122.53","108.00","16.45M","-9.22%"
"20-03-2026","122.53","124.00","124.00","121.05","3.74M","0.02%"
"19-03-2026","122.51","126.75","127.36","121.73","3.61M","-5.06%"
"18-03-2026","129.04","131.00","131.00","126.50","1.36M","-0.32%"
"17-03-2026","129.45","130.54","130.54","128.82","1.81M","1.00%"
"16-03-2026","128.17","130.33","130.95","127.70","3.35M","-2.52%"
"13-03-2026","131.49","133.27","133.27","130.15","3.54M","-1.34%"
"12-03-2026","133.27","133.79","133.85","132.07","7.50M","-0.58%"
"11-03-2026","134.05","133.82","134.90","133.50","3.93M","0.44%"
"10-03-2026","133.46","135.81","135.81","132.36","5.44M","0.72%"
"09-03-2026","132.50","158.00","158.00","131.13","7.64M","0.49%"
"06-03-2026","131.85","135.95","137.21","131.40","6.72M","-1.02%"
"05-03-2026","133.21","135.95","135.95","132.01","4.17M","-0.97%"
"04-03-2026","134.51","141.00","141.00","132.80","14.73M","-3.58%"
"02-03-2026","139.51","136.10","141.80","134.10","9.59M","5.06%"
"27-02-2026","132.79","131.55","132.95","131.55","2.43M","1.00%"
"26-02-2026","131.48","132.70","132.70","130.88","1.76M","-0.94%"
"25-02-2026","132.73","132.41","132.93","131.67","2.22M","0.45%"
"24-02-2026","132.14","131.32","133.05","131.32","3.49M","0.68%"
"23-02-2026","131.25","131.00","132.64","130.50","4.64M","2.03%"
"20-02-2026","128.64","128.28","129.28","127.14","1.59M","0.28%"
"19-02-2026","128.28","126.10","128.75","126.10","4.64M","2.10%"
"18-02-2026","125.64","128.94","128.94","123.40","3.50M","-0.13%"
"17-02-2026","125.80","127.26","127.26","124.54","3.59M","-1.54%"
"16-02-2026","127.77","130.58","130.58","126.80","6.52M","0.29%"
"13-02-2026","127.40","126.99","128.50","126.10","2.60M","-1.75%"
"12-02-2026","129.67","129.86","130.22","128.90","2.73M","-0.15%"
"11-02-2026","129.86","129.30","130.23","129.06","3.66M","0.43%"
"10-02-2026","129.30","132.70","132.70","128.40","3.37M","-0.13%"
"09-02-2026","129.47","129.02","131.49","125.88","5.41M","2.85%"
"06-02-2026","125.88","122.90","126.50","122.27","5.22M","-0.14%"
"05-02-2026","126.06","129.99","129.99","123.04","7.17M","-3.52%"
"04-02-2026","130.66","134.63","134.80","127.36","5.85M","3.66%"
"03-02-2026","126.05","120.11","129.70","120.11","12.36M","5.85%"
"02-02-2026","119.08","121.00","122.76","112.08","13.25M","-2.14%"
"01-02-2026","121.68","133.40","133.40","116.57","11.27M","-6.51%"
"30-01-2026","130.15","141.00","147.00","127.00","19.61M","-11.23%"
"29-01-2026","146.62","138.00","155.00","138.00","16.84M","7.16%"
"28-01-2026","136.82","133.23","137.50","133.23","10.84M","3.35%"
"27-01-2026","132.39","132.24","134.98","130.04","6.36M","2.61%"
"23-01-2026","129.02","127.45","133.40","127.45","8.52M","2.50%"
"22-01-2026","125.87","133.37","135.00","118.85","13.59M","-5.62%"
"21-01-2026","133.37","127.90","134.70","126.00","13.71M","6.88%"
"20-01-2026","124.79","123.90","126.41","120.03","12.26M","3.23%"
"19-01-2026","120.88","118.50","121.80","118.50","9.16M","2.04%"
"16-01-2026","118.46","118.40","118.75","116.61","3.78M","-0.04%"
"14-01-2026","118.51","117.33","119.30","117.33","7.53M","1.02%"
"13-01-2026","117.31","119.00","119.00","117.00","6.00M","-0.30%"
"12-01-2026","117.66","117.34","118.75","115.33","4.96M","2.78%"
"09-01-2026","114.48","115.85","115.85","113.05","2.83M","1.28%"
"08-01-2026","113.03","113.73","113.94","112.18","2.84M","-0.62%"
"07-01-2026","113.73","116.00","116.00","113.31","3.80M","-0.22%"
"06-01-2026","113.98","110.76","114.49","110.76","5.25M","0.33%"
"05-01-2026","113.61","109.52","114.10","109.52","5.42M","1.14%"
"02-01-2026","112.33","113.63","113.63","111.29","3.12M","0.93%"
"01-01-2026","111.29","112.00","112.00","110.03","1.46M","0.55%"
"31-12-2025","110.68","112.58","112.58","110.15","3.92M","-0.85%"
"30-12-2025","111.63","110.63","113.47","110.63","4.64M","-1.62%"
"29-12-2025","113.47","116.50","116.50","109.00","4.55M","-1.24%"
"26-12-2025","114.89","116.59","116.59","113.90","4.11M","0.82%"
"24-12-2025","113.96","114.21","114.90","113.73","4.18M","-0.05%"
"23-12-2025","114.02","114.87","114.87","113.07","2.79M","1.74%"
"22-12-2025","112.07","111.03","112.50","111.03","4.07M","1.32%"
"19-12-2025","110.61","111.17","111.22","110.01","2.48M","-0.50%"
"18-12-2025","111.17","110.81","111.70","110.76","1.64M","0.33%"
"17-12-2025","110.80","113.20","113.20","110.40","2.66M","0.33%"
"16-12-2025","110.44","110.42","111.07","109.95","4.21M","-1.44%"
"15-12-2025","112.05","113.17","114.00","110.03","2.91M","1.49%"
"12-12-2025","110.41","105.08","110.65","105.08","2.34M","2.44%"
"11-12-2025","107.78","107.06","107.99","107.04","1.43M","0.67%"
"10-12-2025","107.06","104.41","107.90","104.41","1.45M","-0.03%"
"09-12-2025","107.09","107.35","107.46","106.26","1.90M","-0.34%"
"08-12-2025","107.46","107.60","107.90","107.01","3.00M","-0.17%"
"05-12-2025","107.64","104.02","107.79","104.02","1.48M","0.89%"
"04-12-2025","106.69","108.34","108.34","106.48","1.13M","-0.42%"
"03-12-2025","107.14","107.10","108.40","107.00","1.96M","0.38%"
"02-12-2025","106.73","107.29","107.39","106.40","2.20M","-0.70%"
"01-12-2025","107.48","106.26","107.51","106.25","1.96M","2.16%"
"28-11-2025","105.21","107.67","107.67","104.03","934.77K","0.15%"
"27-11-2025","105.05","104.25","105.32","104.25","851.81K","-0.11%"
"26-11-2025","105.17","107.33","107.33","104.20","1.04M","0.93%"
"25-11-2025","104.20","104.04","104.61","103.90","1.43M","1.17%"
"24-11-2025","102.99","102.95","103.10","102.02","1.33M","0.14%"
"21-11-2025","102.85","102.30","102.99","101.35","1.35M","0.54%"
"20-11-2025","102.30","102.49","102.89","101.07","1.25M","-0.64%"
"19-11-2025","102.96","101.90","103.36","101.90","1.05M","1.41%"
"18-11-2025","101.53","100.18","101.80","100.18","3.20M","-1.19%"
"17-11-2025","102.75","103.89","103.98","101.36","3.54M","-1.75%"
"14-11-2025","104.58","106.09","106.10","104.19","1.63M","-1.56%"
"13-11-2025","106.24","104.82","106.28","104.82","1.64M","2.52%"
"12-11-2025","103.63","103.15","103.90","103.00","1.33M","-0.37%"
"11-11-2025","104.02","105.37","105.37","103.60","1.94M","1.41%"
"10-11-2025","102.57","101.10","102.64","101.10","1.73M","1.92%"
"07-11-2025","100.64","100.74","100.88","100.31","1.02M","-0.28%"
"06-11-2025","100.92","100.54","101.04","99.35","2.05M","0.38%"
"04-11-2025","100.54","100.74","101.24","99.90","561.49K","-0.20%"
"03-11-2025","100.74","100.80","101.64","100.53","1.47M","-0.03%"
"31-10-2025","100.77","100.48","101.30","99.63","1.21M","0.29%"
"30-10-2025","100.48","98.00","100.80","97.04","1.56M","-0.23%"
"29-10-2025","100.71","97.80","100.89","97.80","1.39M","4.01%"
"28-10-2025","96.83","100.62","100.62","96.31","2.38M","-3.96%"
"27-10-2025","100.82","101.90","101.95","100.20","2.91M","-0.28%"
"24-10-2025","101.10","105.19","105.19","100.60","1.60M","-1.49%"
"23-10-2025","102.63","109.88","109.88","96.10","6.07M","-3.80%"
"21-10-2025","106.68","109.34","109.34","106.00","599.63K","0.49%"
"20-10-2025","106.16","108.63","110.00","104.66","2.93M","-2.44%"
"17-10-2025","108.81","107.33","109.90","107.33","5.16M","2.70%"
"16-10-2025","105.95","105.81","106.86","105.41","2.96M","0.13%"
"15-10-2025","105.81","105.71","106.90","105.50","4.60M","0.59%"
"14-10-2025","105.19","106.48","107.40","103.83","7.76M","1.75%"
"13-10-2025","103.38","101.90","104.79","101.90","4.20M","2.08%"
"10-10-2025","101.27","101.40","101.94","99.75","3.67M","-1.00%"
"09-10-2025","102.29","102.12","102.99","102.00","5.77M","0.16%"
"08-10-2025","102.13","100.63","102.65","100.63","5.94M","1.94%"
"07-10-2025","100.19","100.03","100.67","99.55","4.28M","0.37%"
"06-10-2025","99.82","98.20","99.97","98.20","3.80M","2.29%"
"03-10-2025","97.59","101.37","101.37","96.81","3.82M","-0.84%"
