"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2026","125.09","124.32","125.99","121.76","24.66M","3.02%"
"27-03-2026","121.42","122.50","122.50","119.25","10.07M","-1.24%"
"25-03-2026","122.94","122.21","123.55","122.01","9.93M","3.11%"
"24-03-2026","119.23","116.56","119.90","115.21","12.04M","4.85%"
"23-03-2026","113.72","120.20","120.20","110.70","37.77M","-8.86%"
"20-03-2026","124.78","127.97","127.97","123.72","13.24M","-0.06%"
"19-03-2026","124.85","128.57","129.49","124.41","12.58M","-5.32%"
"18-03-2026","131.87","131.61","132.07","131.05","6.46M","-0.20%"
"17-03-2026","132.13","133.70","133.70","127.84","10.89M","0.77%"
"16-03-2026","131.12","131.29","133.93","130.64","8.42M","-2.51%"
"13-03-2026","134.49","136.33","136.33","133.19","5.22M","-1.55%"
"12-03-2026","136.61","137.30","137.30","135.12","4.94M","-0.19%"
"11-03-2026","136.87","133.00","137.87","132.99","5.71M","0.33%"
"10-03-2026","136.42","138.00","138.00","132.12","7.78M","0.67%"
"09-03-2026","135.51","136.72","136.72","134.00","11.18M","0.48%"
"06-03-2026","134.86","138.00","138.00","134.20","11.09M","-1.19%"
"05-03-2026","136.48","138.55","138.55","135.30","15.43M","-1.12%"
"04-03-2026","138.02","140.95","140.95","136.01","16.37M","-3.33%"
"02-03-2026","142.77","139.97","143.42","139.97","22.74M","5.13%"
"27-02-2026","135.80","138.03","138.03","134.68","13.53M","0.84%"
"26-02-2026","134.67","137.20","137.20","134.00","4.64M","-0.81%"
"25-02-2026","135.77","135.35","136.14","134.78","5.72M","0.31%"
"24-02-2026","135.35","130.63","135.51","130.63","5.00M","1.02%"
"23-02-2026","133.98","134.58","135.00","132.63","4.90M","1.86%"
"20-02-2026","131.53","134.29","134.29","127.73","10.75M","0.40%"
"19-02-2026","131.01","130.82","131.89","129.18","4.41M","2.10%"
"18-02-2026","128.31","127.63","129.25","127.63","5.45M","-0.04%"
"17-02-2026","128.36","130.16","130.16","127.20","6.85M","-2.05%"
"16-02-2026","131.04","131.10","131.32","129.81","7.05M","0.74%"
"13-02-2026","130.08","129.29","131.57","127.30","7.65M","-1.91%"
"12-02-2026","132.61","133.18","133.18","131.99","7.02M","-0.08%"
"11-02-2026","132.71","133.99","133.99","132.01","7.48M","0.29%"
"10-02-2026","132.32","131.89","132.50","131.26","10.16M","0.33%"
"09-02-2026","131.89","132.34","133.79","131.40","15.64M","2.15%"
"06-02-2026","129.12","129.93","129.93","126.60","14.58M","-0.37%"
"05-02-2026","129.60","137.45","137.45","127.00","23.38M","-3.36%"
"04-02-2026","134.10","132.75","135.88","132.00","24.00M","4.07%"
"03-02-2026","128.85","121.63","130.00","121.63","21.86M","3.29%"
"02-02-2026","124.75","130.03","132.98","116.50","31.06M","-1.18%"
"01-02-2026","126.24","139.81","139.81","120.00","27.52M","-7.45%"
"30-01-2026","136.40","150.78","150.78","130.00","43.81M","-9.76%"
"29-01-2026","151.15","149.20","153.65","145.00","32.34M","7.87%"
"28-01-2026","140.12","138.00","153.95","137.04","27.81M","3.46%"
"27-01-2026","135.43","133.33","136.98","133.33","32.10M","2.98%"
"23-01-2026","131.51","131.84","136.41","129.95","30.97M","2.24%"
"22-01-2026","128.63","142.05","142.05","121.57","34.17M","-7.19%"
"21-01-2026","138.59","134.00","142.22","132.20","25.42M","7.03%"
"20-01-2026","129.49","126.91","132.00","124.13","24.31M","4.00%"
"19-01-2026","124.51","124.56","126.25","122.47","15.36M","2.43%"
"16-01-2026","121.56","122.60","122.60","120.71","19.30M","-0.37%"
"14-01-2026","122.01","119.75","122.35","119.75","12.91M","1.56%"
"13-01-2026","120.13","121.63","121.63","119.61","11.96M","-0.43%"
"12-01-2026","120.65","118.70","121.50","117.82","13.20M","3.08%"
"09-01-2026","117.05","118.62","118.62","115.75","8.05M","1.14%"
"08-01-2026","115.73","118.00","118.00","114.80","8.69M","-0.59%"
"07-01-2026","116.42","119.98","120.46","116.00","7.87M","-0.21%"
"06-01-2026","116.66","119.32","119.32","116.50","14.11M","0.21%"
"05-01-2026","116.41","118.41","118.41","115.51","16.63M","0.76%"
"02-01-2026","115.53","116.85","116.85","114.34","9.62M","1.34%"
"01-01-2026","114.00","113.58","115.50","113.03","6.98M","0.37%"
"31-12-2025","113.58","117.50","117.50","112.03","7.87M","-0.92%"
"30-12-2025","114.64","113.88","119.38","113.70","11.30M","-1.85%"
"29-12-2025","116.80","117.91","118.80","115.60","16.58M","-0.75%"
"26-12-2025","117.68","118.98","119.66","116.75","10.02M","0.80%"
"24-12-2025","116.75","119.49","119.49","116.03","9.81M","0.15%"
"23-12-2025","116.58","116.40","117.15","116.04","7.93M","1.39%"
"22-12-2025","114.98","115.93","115.93","110.30","8.62M","1.65%"
"19-12-2025","113.11","112.30","116.18","112.30","7.13M","-0.21%"
"18-12-2025","113.35","115.98","115.98","113.12","6.40M","0.04%"
"17-12-2025","113.30","114.93","114.93","112.84","10.20M","0.36%"
"16-12-2025","112.89","113.85","113.85","112.52","11.28M","-1.36%"
"15-12-2025","114.45","114.62","115.16","113.00","7.30M","1.32%"
"12-12-2025","112.96","110.63","113.40","110.63","5.93M","2.34%"
"11-12-2025","110.38","112.27","112.27","109.33","5.64M","0.77%"
"10-12-2025","109.54","109.56","110.12","109.40","5.21M","-0.04%"
"09-12-2025","109.58","111.98","111.98","108.80","6.45M","-0.48%"
"08-12-2025","110.11","110.40","110.40","108.05","8.52M","-0.12%"
"05-12-2025","110.24","106.63","110.29","106.63","5.58M","0.80%"
"04-12-2025","109.37","110.91","110.91","108.93","4.58M","-0.31%"
"03-12-2025","109.71","110.49","110.49","109.51","7.87M","0.54%"
"02-12-2025","109.12","110.20","110.20","108.86","7.96M","-1.08%"
"01-12-2025","110.31","110.46","110.64","109.03","6.22M","2.30%"
"28-11-2025","107.83","105.00","110.06","104.69","3.31M","0.42%"
"27-11-2025","107.38","107.40","107.56","107.05","2.94M","-0.09%"
"26-11-2025","107.48","107.50","107.64","107.24","2.73M","0.78%"
"25-11-2025","106.65","106.34","107.05","106.31","3.85M","1.20%"
"24-11-2025","105.39","105.50","105.55","104.68","3.67M","0.11%"
"21-11-2025","105.27","107.36","107.36","103.72","3.64M","0.50%"
"20-11-2025","104.75","108.55","108.55","104.04","4.73M","-0.61%"
"19-11-2025","105.39","105.00","105.95","104.53","3.76M","1.38%"
"18-11-2025","103.96","104.25","104.37","103.00","6.06M","-1.20%"
"17-11-2025","105.22","104.20","105.55","104.00","5.98M","-1.64%"
"14-11-2025","106.97","108.40","108.49","106.47","5.29M","-1.50%"
"13-11-2025","108.60","107.44","108.76","107.44","5.16M","2.53%"
"12-11-2025","105.92","106.36","106.36","105.27","6.04M","-0.52%"
"11-11-2025","106.47","107.54","107.54","105.80","6.17M","1.48%"
