"Date","Price","Open","High","Low","Vol.","Change %"
"31-03-2026","93.485","94.373","94.380","93.432","","-0.95%"
"30-03-2026","94.379","93.048","95.220","93.032","","-0.43%"
"27-03-2026","94.782","94.298","94.988","94.116","","0.52%"
"26-03-2026","94.288","93.800","94.301","93.800","","0.41%"
"25-03-2026","93.906","93.990","94.214","93.763","","-0.15%"
"24-03-2026","94.043","93.505","94.141","93.505","","0.89%"
"23-03-2026","93.212","93.743","94.137","92.911","","-0.51%"
"20-03-2026","93.692","92.924","93.826","92.834","","0.84%"
"19-03-2026","92.911","93.027","93.384","92.859","","-0.23%"
"18-03-2026","93.129","92.407","93.129","92.340","","0.79%"
"17-03-2026","92.395","92.240","92.491","92.240","","0.14%"
"16-03-2026","92.264","92.449","92.483","92.147","","-0.30%"
"13-03-2026","92.540","92.366","92.572","92.240","","0.16%"
"12-03-2026","92.388","92.243","92.506","92.055","","0.17%"
"11-03-2026","92.229","91.899","92.258","91.837","","0.28%"
"10-03-2026","91.974","91.851","92.204","91.674","","-0.20%"
"09-03-2026","92.155","92.330","92.386","92.113","","0.24%"
"06-03-2026","91.933","91.662","92.012","91.570","","0.16%"
"05-03-2026","91.787","92.132","92.165","91.335","","-0.36%"
"04-03-2026","92.123","92.012","92.311","91.880","","0.08%"
"03-03-2026","92.050","91.560","92.239","91.560","","0.51%"
"02-03-2026","91.585","91.234","91.774","91.167","","0.56%"
"27-02-2026","91.076","91.022","91.142","90.915","","0.09%"
"26-02-2026","90.993","90.941","91.078","90.806","","0.11%"
"25-02-2026","90.894","90.913","90.970","90.863","","-0.03%"
"24-02-2026","90.918","91.026","91.032","90.855","","-0.11%"
"23-02-2026","91.016","90.765","91.034","90.680","","0.32%"
"20-02-2026","90.730","91.042","91.088","90.721","","-0.34%"
"19-02-2026","91.038","90.793","91.211","90.700","","0.26%"
"18-02-2026","90.804","90.627","90.809","90.575","","0.19%"
"17-02-2026","90.632","90.784","90.804","90.607","","-0.16%"
"16-02-2026","90.779","90.596","90.832","90.536","","0.25%"
"13-02-2026","90.555","90.613","90.762","90.516","","-0.01%"
"12-02-2026","90.564","90.672","90.732","90.390","","-0.19%"
"11-02-2026","90.736","90.587","90.846","90.465","","0.16%"
"10-02-2026","90.588","90.793","90.798","90.470","","-0.19%"
"09-02-2026","90.756","90.518","90.811","90.373","","0.18%"
"06-02-2026","90.596","90.315","90.845","90.173","","0.31%"
"05-02-2026","90.319","90.362","90.521","90.063","","-0.08%"
"04-02-2026","90.391","90.377","90.535","90.233","","-0.04%"
"03-02-2026","90.423","90.328","90.520","90.022","","-0.94%"
"02-02-2026","91.285","91.778","92.023","91.280","","-0.45%"
"30-01-2026","91.694","91.870","92.027","91.667","","-0.10%"
"29-01-2026","91.782","92.031","92.129","91.779","","-0.28%"
"28-01-2026","92.043","91.540","92.220","91.418","","0.62%"
"27-01-2026","91.474","91.775","91.896","91.472","","-0.26%"
"26-01-2026","91.713","91.531","91.790","91.500","","0.04%"
"23-01-2026","91.675","91.559","91.988","91.415","","0.11%"
"22-01-2026","91.570","91.537","91.681","91.279","","0.03%"
"21-01-2026","91.546","91.055","91.753","90.998","","0.47%"
"20-01-2026","91.119","90.905","91.119","90.871","","0.24%"
"19-01-2026","90.902","90.717","91.015","90.610","","0.21%"
"16-01-2026","90.709","90.318","90.891","90.318","","0.38%"
"15-01-2026","90.362","90.190","90.439","90.181","","0.13%"
"14-01-2026","90.248","90.265","90.391","89.983","","-0.04%"
"13-01-2026","90.282","90.233","90.351","90.165","","0.17%"
"12-01-2026","90.132","90.257","90.272","90.117","","-0.12%"
"09-01-2026","90.244","89.883","90.318","89.855","","0.38%"
"08-01-2026","89.905","89.852","90.132","89.730","","0.05%"
"07-01-2026","89.864","90.166","90.232","89.807","","-0.27%"
"06-01-2026","90.108","90.231","90.264","90.050","","-0.14%"
"05-01-2026","90.233","90.131","90.311","90.095","","0.24%"
"02-01-2026","90.014","89.942","90.255","89.864","","0.05%"
"01-01-2026","89.968","89.955","89.993","89.865","","0.11%"
"31-12-2025","89.871","89.780","90.001","89.727","","0.11%"
"30-12-2025","89.770","89.974","90.020","89.687","","-0.14%"
"29-12-2025","89.900","89.837","89.993","89.830","","0.12%"
"26-12-2025","89.796","89.753","89.962","89.697","","0.07%"
"25-12-2025","89.736","89.735","89.736","89.735","","-0.09%"
"24-12-2025","89.814","89.534","89.860","89.419","","0.42%"
"23-12-2025","89.436","89.563","89.851","89.411","","-0.19%"
"22-12-2025","89.604","89.542","89.768","89.446","","0.03%"
"19-12-2025","89.577","90.238","90.302","89.255","","-0.76%"
"18-12-2025","90.267","90.389","90.464","90.042","","-0.16%"
"17-12-2025","90.409","91.020","91.075","89.906","","-0.59%"
"16-12-2025","90.949","90.777","91.082","90.710","","0.19%"
"15-12-2025","90.775","90.550","90.793","90.510","","0.21%"
"12-12-2025","90.584","90.188","90.652","90.174","","0.37%"
"11-12-2025","90.251","89.875","90.488","89.846","","0.51%"
"10-12-2025","89.793","89.908","90.084","89.763","","-0.14%"
"09-12-2025","89.917","90.130","90.207","89.825","","-0.24%"
"08-12-2025","90.130","89.962","90.267","89.962","","0.21%"
"05-12-2025","89.945","89.900","90.076","89.700","","0.12%"
"04-12-2025","89.837","90.150","90.462","89.726","","-0.37%"
"03-12-2025","90.171","89.923","90.329","89.857","","0.28%"
"02-12-2025","89.918","89.606","90.014","89.591","","0.34%"
"01-12-2025","89.613","89.325","89.800","89.325","","0.29%"
"28-11-2025","89.357","89.361","89.516","89.316","","-0.01%"
"27-11-2025","89.365","89.161","89.409","89.116","","0.23%"
"26-11-2025","89.161","89.170","89.288","89.146","","0.01%"
"25-11-2025","89.153","89.148","89.274","88.979","","0.01%"
"24-11-2025","89.148","89.527","89.538","89.063","","-0.55%"
"21-11-2025","89.641","88.692","89.734","88.602","","1.04%"
"20-11-2025","88.715","88.487","88.763","88.483","","0.25%"
"19-11-2025","88.492","88.557","88.623","88.416","","-0.07%"
"18-11-2025","88.552","88.610","88.697","88.495","","-0.09%"
"17-11-2025","88.636","88.705","88.748","88.559","","-0.06%"
"14-11-2025","88.689","88.777","88.808","88.636","","-0.14%"
"13-11-2025","88.817","88.590","88.831","88.582","","0.26%"
"12-11-2025","88.590","88.501","88.663","88.499","","0.14%"
"11-11-2025","88.467","88.707","88.726","88.421","","-0.27%"
"10-11-2025","88.707","88.650","88.746","88.623","","0.05%"
"07-11-2025","88.665","88.625","88.731","88.590","","-0.01%"
"06-11-2025","88.673","88.632","88.693","88.459","","0.13%"
"05-11-2025","88.557","88.710","88.774","88.545","","-0.20%"
"04-11-2025","88.732","88.722","88.779","88.332","","0.01%"
"03-11-2025","88.724","88.722","88.806","88.697","","-0.05%"
"31-10-2025","88.769","88.637","88.814","88.566","","0.15%"
"30-10-2025","88.632","88.314","88.765","88.308","","0.25%"
"29-10-2025","88.408","88.232","88.493","88.141","","0.20%"
"28-10-2025","88.234","88.223","88.423","88.160","","0.01%"
"27-10-2025","88.225","87.786","88.311","87.785","","0.44%"
"24-10-2025","87.836","87.777","87.889","87.630","","0.06%"
"23-10-2025","87.779","87.716","87.964","87.716","","0.04%"
"22-10-2025","87.740","88.003","88.003","87.612","","-0.32%"
"21-10-2025","88.021","87.880","88.092","87.880","","0.17%"
"20-10-2025","87.875","87.956","88.012","87.738","","-0.15%"
"17-10-2025","88.003","87.939","88.119","87.716","","0.01%"
"16-10-2025","87.991","87.754","88.058","87.611","","0.21%"
"15-10-2025","87.810","88.729","88.799","87.809","","-1.09%"
"14-10-2025","88.782","88.683","88.827","88.627","","0.13%"
"13-10-2025","88.665","88.726","88.798","88.564","","-0.10%"
"10-10-2025","88.757","88.817","88.826","88.494","","-0.12%"
"09-10-2025","88.866","88.778","88.877","88.694","","0.12%"
"08-10-2025","88.760","88.759","88.824","88.725","","0.02%"
"07-10-2025","88.739","88.721","88.785","88.691","","0.02%"
"06-10-2025","88.721","88.763","88.839","88.695","","-0.02%"
"03-10-2025","88.735","88.749","88.816","88.664","","0.02%"
"02-10-2025","88.720","88.669","88.883","88.585","","0.04%"
"01-10-2025","88.683","88.786","88.856","88.612","","-0.18%"
"30-09-2025","88.841","88.738","88.877","88.673","","0.15%"
"29-09-2025","88.704","88.661","88.802","88.624","","0.03%"
"26-09-2025","88.677","88.774","88.792","88.638","","-0.10%"
"25-09-2025","88.768","88.732","88.818","88.599","","-0.01%"
"24-09-2025","88.777","88.790","88.939","88.673","","-0.03%"
"23-09-2025","88.808","88.304","88.821","88.256","","0.57%"
"22-09-2025","88.303","88.181","88.346","88.116","","0.23%"
"19-09-2025","88.100","88.207","88.343","88.052","","-0.12%"
"18-09-2025","88.206","87.891","88.291","87.834","","0.53%"
"17-09-2025","87.745","87.879","87.910","87.662","","-0.16%"
"16-09-2025","87.883","88.069","88.160","87.878","","-0.27%"
"15-09-2025","88.122","88.279","88.302","88.115","","-0.18%"
"12-09-2025","88.277","88.298","88.431","88.232","","0.01%"
"11-09-2025","88.267","88.105","88.499","88.084","","0.24%"
"10-09-2025","88.054","88.220","88.267","88.021","","-0.22%"
